n,W,V,rep,instance,algorithm,profit,chosen_items,time_seconds,time_unit
100,100,200,7,instances/n100_w100_v200_r7.txt,bb,4018,"3 13 50 59 71",0.000109511,seconds
100,100,200,8,instances/n100_w100_v200_r8.txt,dp,4980,"17 32 47 63 64 65 86 97",0.007285980,seconds
100,100,200,8,instances/n100_w100_v200_r8.txt,bt,4980,"17 32 47 63 64 65 86 97",0.007057021,seconds
100,100,200,8,instances/n100_w100_v200_r8.txt,bb,4980,"17 32 47 63 64 65 86 97",0.003089365,seconds
100,100,200,9,instances/n100_w100_v200_r9.txt,dp,3363,"33 45 49 56 58",0.003488329,seconds
100,100,200,9,instances/n100_w100_v200_r9.txt,bt,3363,"33 45 49 56 58",0.001137596,seconds
100,100,200,9,instances/n100_w100_v200_r9.txt,bb,3363,"33 45 49 56 58",0.000718142,seconds
100,100,200,10,instances/n100_w100_v200_r10.txt,dp,5156,"6 38 55 58 60 70",0.005003658,seconds
100,100,200,10,instances/n100_w100_v200_r10.txt,bt,5156,"6 38 55 58 60 70",0.002762195,seconds
100,100,200,10,instances/n100_w100_v200_r10.txt,bb,5156,"6 38 55 58 60 70",0.000311218,seconds
100,100,300,1,instances/n100_w100_v300_r1.txt,dp,5029,"29 37 40 64 90 99",0.005571646,seconds
100,100,300,1,instances/n100_w100_v300_r1.txt,bt,5029,"29 37 40 64 90 99",0.002565967,seconds
100,100,300,1,instances/n100_w100_v300_r1.txt,bb,5029,"29 37 40 64 90 99",0.000179621,seconds
100,100,300,2,instances/n100_w100_v300_r2.txt,dp,3481,"2 7 17 39 61 64",0.004268392,seconds
100,100,300,2,instances/n100_w100_v300_r2.txt,bt,3481,"2 7 17 39 61 64",0.002227588,seconds
100,100,300,2,instances/n100_w100_v300_r2.txt,bb,3481,"2 7 17 39 61 64",0.000548759,seconds
100,100,300,3,instances/n100_w100_v300_r3.txt,dp,4364,"10 13 18 22 36 98",0.002015339,seconds
100,100,300,3,instances/n100_w100_v300_r3.txt,bt,4364,"10 13 18 22 36 98",0.001119399,seconds
100,100,300,3,instances/n100_w100_v300_r3.txt,bb,4364,"10 13 18 22 36 98",0.001664856,seconds
100,100,300,4,instances/n100_w100_v300_r4.txt,dp,2833,"2 32 40 98",0.003185845,seconds
100,100,300,4,instances/n100_w100_v300_r4.txt,bt,2833,"2 32 40 98",0.000677285,seconds
100,100,300,4,instances/n100_w100_v300_r4.txt,bb,2833,"2 32 40 98",0.000799650,seconds
100,100,300,5,instances/n100_w100_v300_r5.txt,dp,3220,"45 50 54 66 100",0.000941238,seconds
100,100,300,5,instances/n100_w100_v300_r5.txt,bt,3220,"45 50 54 66 100",0.000457579,seconds
100,100,300,5,instances/n100_w100_v300_r5.txt,bb,3220,"45 50 54 66 100",0.000069258,seconds
100,100,300,6,instances/n100_w100_v300_r6.txt,dp,3800,"2 13 20 27 77",0.003468225,seconds
100,100,300,6,instances/n100_w100_v300_r6.txt,bt,3800,"2 13 20 27 77",0.000932931,seconds
100,100,300,6,instances/n100_w100_v300_r6.txt,bb,3800,"2 13 20 27 77",0.000473646,seconds
100,100,300,7,instances/n100_w100_v300_r7.txt,dp,4179,"6 11 13 49 72 90",0.002099531,seconds
100,100,300,7,instances/n100_w100_v300_r7.txt,bt,4179,"6 11 13 49 72 90",0.001009590,seconds
100,100,300,7,instances/n100_w100_v300_r7.txt,bb,4179,"6 11 13 49 72 90",0.000123608,seconds
100,100,300,8,instances/n100_w100_v300_r8.txt,dp,2427,"28 39 44",0.000811462,seconds
100,100,300,8,instances/n100_w100_v300_r8.txt,bt,2427,"28 39 44",0.000361387,seconds
100,100,300,8,instances/n100_w100_v300_r8.txt,bb,2427,"28 39 44",0.000808583,seconds
100,100,300,9,instances/n100_w100_v300_r9.txt,dp,4929,"4 14 37 51 52 93 96",0.004354011,seconds
100,100,300,9,instances/n100_w100_v300_r9.txt,bt,4929,"4 14 37 51 52 93 96",0.001431585,seconds
100,100,300,9,instances/n100_w100_v300_r9.txt,bb,4929,"4 14 37 51 52 93 96",0.000206881,seconds
100,100,300,10,instances/n100_w100_v300_r10.txt,dp,3632,"28 39 42 64 76",0.006280726,seconds
100,100,300,10,instances/n100_w100_v300_r10.txt,bt,3632,"28 39 42 64 76",0.001836644,seconds
100,100,300,10,instances/n100_w100_v300_r10.txt,bb,3632,"28 39 42 64 76",0.000474592,seconds
100,100,400,1,instances/n100_w100_v400_r1.txt,dp,3400,"30 50 56 88 95",0.002018738,seconds
100,100,400,1,instances/n100_w100_v400_r1.txt,bt,3400,"30 50 56 88 95",0.000928906,seconds
100,100,400,1,instances/n100_w100_v400_r1.txt,bb,3400,"30 50 56 88 95",0.000188333,seconds
100,100,400,2,instances/n100_w100_v400_r2.txt,dp,2800,"10 15 64 72",0.001770560,seconds
100,100,400,2,instances/n100_w100_v400_r2.txt,bt,2800,"10 15 64 72",0.000533596,seconds
100,100,400,2,instances/n100_w100_v400_r2.txt,bb,2800,"10 15 64 72",0.000124704,seconds
100,100,400,3,instances/n100_w100_v400_r3.txt,dp,4433,"11 21 22 63 76 91",0.003269396,seconds
100,100,400,3,instances/n100_w100_v400_r3.txt,bt,4433,"11 21 22 63 76 91",0.001911584,seconds
100,100,400,3,instances/n100_w100_v400_r3.txt,bb,4433,"11 21 22 63 76 91",0.000516774,seconds
100,100,400,4,instances/n100_w100_v400_r4.txt,dp,4904,"10 19 34 37 38 67",0.004792014,seconds
100,100,400,4,instances/n100_w100_v400_r4.txt,bt,4904,"10 19 34 37 38 67",0.001429242,seconds
100,100,400,4,instances/n100_w100_v400_r4.txt,bb,4904,"10 19 34 37 38 67",0.000368548,seconds
100,100,400,5,instances/n100_w100_v400_r5.txt,dp,4903,"1 37 87 90 91 97",0.003496568,seconds
100,100,400,5,instances/n100_w100_v400_r5.txt,bt,4903,"1 37 87 90 91 97",0.001411645,seconds
100,100,400,5,instances/n100_w100_v400_r5.txt,bb,4903,"1 37 87 90 91 97",0.000197766,seconds
100,100,400,6,instances/n100_w100_v400_r6.txt,dp,3482,"12 18 32 44 63",0.001586612,seconds
100,100,400,6,instances/n100_w100_v400_r6.txt,bt,3482,"12 18 32 44 63",0.000721951,seconds
100,100,400,6,instances/n100_w100_v400_r6.txt,bb,3482,"12 18 32 44 63",0.000229856,seconds
100,100,400,7,instances/n100_w100_v400_r7.txt,dp,4165,"39 73 83 95 99",0.002057248,seconds
100,100,400,7,instances/n100_w100_v400_r7.txt,bt,4165,"39 73 83 95 99",0.001341312,seconds
100,100,400,7,instances/n100_w100_v400_r7.txt,bb,4165,"39 73 83 95 99",0.000110382,seconds
100,100,400,8,instances/n100_w100_v400_r8.txt,dp,2821,"16 20 26 27 38",0.003637272,seconds
100,100,400,8,instances/n100_w100_v400_r8.txt,bt,2821,"16 20 26 27 38",0.001063426,seconds
100,100,400,8,instances/n100_w100_v400_r8.txt,bb,2821,"16 20 26 27 38",0.000815057,seconds
100,100,400,9,instances/n100_w100_v400_r9.txt,dp,5964,"5 14 18 36 42 52 88 100",0.007427614,seconds
100,100,400,9,instances/n100_w100_v400_r9.txt,bt,5964,"5 14 18 36 42 52 88 100",0.004496659,seconds
100,100,400,9,instances/n100_w100_v400_r9.txt,bb,5964,"5 14 18 36 42 52 88 100",0.000668151,seconds
100,100,400,10,instances/n100_w100_v400_r10.txt,dp,5097,"6 17 36 53 61 94",0.006468886,seconds
100,100,400,10,instances/n100_w100_v400_r10.txt,bt,5097,"6 17 36 53 61 94",0.002269853,seconds
100,100,400,10,instances/n100_w100_v400_r10.txt,bb,5097,"6 17 36 53 61 94",0.000479181,seconds
100,100,500,1,instances/n100_w100_v500_r1.txt,dp,3960,"9 10 80 86 87",0.006962033,seconds
100,100,500,1,instances/n100_w100_v500_r1.txt,bt,3960,"9 10 80 86 87",0.003861872,seconds
100,100,500,1,instances/n100_w100_v500_r1.txt,bb,3960,"9 10 80 86 87",0.001187666,seconds
100,100,500,2,instances/n100_w100_v500_r2.txt,dp,3422,"27 30 60 76",0.001652467,seconds
100,100,500,2,instances/n100_w100_v500_r2.txt,bt,3422,"27 30 60 76",0.000573320,seconds
100,100,500,2,instances/n100_w100_v500_r2.txt,bb,3422,"27 30 60 76",0.000228817,seconds
100,100,500,3,instances/n100_w100_v500_r3.txt,dp,2742,"20 38 72 76",0.002390015,seconds
100,100,500,3,instances/n100_w100_v500_r3.txt,bt,2742,"20 38 72 76",0.000461702,seconds
100,100,500,3,instances/n100_w100_v500_r3.txt,bb,2742,"20 38 72 76",0.000250066,seconds
100,100,500,4,instances/n100_w100_v500_r4.txt,dp,4812,"23 27 56 57 72 99",0.003793472,seconds
100,100,500,4,instances/n100_w100_v500_r4.txt,bt,4812,"23 27 56 57 72 99",0.001556908,seconds
100,100,500,4,instances/n100_w100_v500_r4.txt,bb,4812,"23 27 56 57 72 99",0.000646524,seconds
100,100,500,5,instances/n100_w100_v500_r5.txt,dp,4791,"9 23 51 58 66 74 75 100",0.005067975,seconds
100,100,500,5,instances/n100_w100_v500_r5.txt,bt,4791,"9 23 51 58 66 74 75 100",0.003770410,seconds
100,100,500,5,instances/n100_w100_v500_r5.txt,bb,4791,"9 23 51 58 66 74 75 100",0.000788326,seconds
100,100,500,6,instances/n100_w100_v500_r6.txt,dp,3868,"24 46 56 75 82",0.003787499,seconds
100,100,500,6,instances/n100_w100_v500_r6.txt,bt,3868,"24 46 56 75 82",0.002559627,seconds
100,100,500,6,instances/n100_w100_v500_r6.txt,bb,3868,"24 46 56 75 82",0.001388666,seconds
100,100,500,7,instances/n100_w100_v500_r7.txt,dp,3641,"16 19 53 88 92",0.004147216,seconds
100,100,500,7,instances/n100_w100_v500_r7.txt,bt,3641,"16 19 53 88 92",0.001585601,seconds
100,100,500,7,instances/n100_w100_v500_r7.txt,bb,3641,"16 19 53 88 92",0.000313684,seconds
100,100,500,8,instances/n100_w100_v500_r8.txt,dp,3029,"3 9 14 85",0.001389068,seconds
100,100,500,8,instances/n100_w100_v500_r8.txt,bt,3029,"3 9 14 85",0.000310141,seconds
100,100,500,8,instances/n100_w100_v500_r8.txt,bb,3029,"3 9 14 85",0.000591683,seconds
100,100,500,9,instances/n100_w100_v500_r9.txt,dp,4119,"19 26 29 50 92",0.003783820,seconds
100,100,500,9,instances/n100_w100_v500_r9.txt,bt,4119,"19 26 29 50 92",0.000995809,seconds
100,100,500,9,instances/n100_w100_v500_r9.txt,bb,4119,"19 26 29 50 92",0.000203067,seconds
100,100,500,10,instances/n100_w100_v500_r10.txt,dp,4501,"54 70 71 91 97 98",0.006240717,seconds
100,100,500,10,instances/n100_w100_v500_r10.txt,bt,4501,"54 70 71 91 97 98",0.004826767,seconds
100,100,500,10,instances/n100_w100_v500_r10.txt,bb,4501,"54 70 71 91 97 98",0.003416600,seconds
100,200,100,1,instances/n100_w200_v100_r1.txt,dp,3944,"5 32 62 66 84",0.004675316,seconds
100,200,100,1,instances/n100_w200_v100_r1.txt,bt,3944,"5 32 62 66 84",0.001134563,seconds
100,200,100,1,instances/n100_w200_v100_r1.txt,bb,3944,"5 32 62 66 84",0.000651720,seconds
100,200,100,2,instances/n100_w200_v100_r2.txt,dp,4700,"33 48 74 84 90 94",0.003036923,seconds
100,200,100,2,instances/n100_w200_v100_r2.txt,bt,4700,"33 48 74 84 90 94",0.002550619,seconds
100,200,100,2,instances/n100_w200_v100_r2.txt,bb,4700,"33 48 74 84 90 94",0.000376757,seconds
100,200,100,3,instances/n100_w200_v100_r3.txt,dp,4856,"16 25 43 48 66 86 96",0.004819424,seconds
100,200,100,3,instances/n100_w200_v100_r3.txt,bt,4856,"16 25 43 48 66 86 96",0.005571349,seconds
100,200,100,3,instances/n100_w200_v100_r3.txt,bb,4856,"16 25 43 48 66 86 96",0.002169244,seconds
100,200,100,4,instances/n100_w200_v100_r4.txt,dp,4263,"8 11 15 37 53 57",0.005054789,seconds
100,200,100,4,instances/n100_w200_v100_r4.txt,bt,4263,"8 11 15 37 53 57",0.005496294,seconds
100,200,100,4,instances/n100_w200_v100_r4.txt,bb,4263,"8 11 15 37 53 57",0.000258787,seconds
100,200,100,5,instances/n100_w200_v100_r5.txt,dp,3565,"4 11 81 83",0.001831984,seconds
100,200,100,5,instances/n100_w200_v100_r5.txt,bt,3565,"4 11 81 83",0.001246427,seconds
100,200,100,5,instances/n100_w200_v100_r5.txt,bb,3565,"4 11 81 83",0.000384054,seconds
100,200,100,6,instances/n100_w200_v100_r6.txt,dp,3136,"9 28 39 99",0.002330514,seconds
100,200,100,6,instances/n100_w200_v100_r6.txt,bt,3136,"9 28 39 99",0.001291421,seconds
100,200,100,6,instances/n100_w200_v100_r6.txt,bb,3136,"9 28 39 99",0.000917779,seconds
100,200,100,7,instances/n100_w200_v100_r7.txt,dp,5195,"19 22 36 45 54 63 68 96",0.006401933,seconds
100,200,100,7,instances/n100_w200_v100_r7.txt,bt,5195,"19 22 36 45 54 63 68 96",0.004954434,seconds
100,200,100,7,instances/n100_w200_v100_r7.txt,bb,5195,"19 22 36 45 54 63 68 96",0.001629644,seconds
100,200,100,8,instances/n100_w200_v100_r8.txt,dp,3932,"7 18 36 70 97",0.003331223,seconds
100,200,100,8,instances/n100_w200_v100_r8.txt,bt,3932,"7 18 36 70 97",0.002120988,seconds
100,200,100,8,instances/n100_w200_v100_r8.txt,bb,3932,"7 18 36 70 97",0.000606301,seconds
100,200,100,9,instances/n100_w200_v100_r9.txt,dp,4150,"10 45 52 54 55 84",0.003989548,seconds
100,200,100,9,instances/n100_w200_v100_r9.txt,bt,4150,"10 45 52 54 55 84",0.002584876,seconds
100,200,100,9,instances/n100_w200_v100_r9.txt,bb,4150,"10 45 52 54 55 84",0.001820232,seconds
100,200,100,10,instances/n100_w200_v100_r10.txt,dp,5264,"5 15 40 45 69 73 90",0.005630796,seconds
100,200,100,10,instances/n100_w200_v100_r10.txt,bt,5264,"5 15 40 45 69 73 90",0.008963039,seconds
100,200,100,10,instances/n100_w200_v100_r10.txt,bb,5264,"5 15 40 45 69 73 90",0.000414321,seconds
100,200,200,1,instances/n100_w200_v200_r1.txt,dp,3260,"1 27 48 70",0.003025756,seconds
100,200,200,1,instances/n100_w200_v200_r1.txt,bt,3260,"1 27 48 70",0.000779774,seconds
100,200,200,1,instances/n100_w200_v200_r1.txt,bb,3260,"1 27 48 70",0.000511982,seconds
100,200,200,2,instances/n100_w200_v200_r2.txt,dp,3697,"1 7 20 45 65 94",0.003761439,seconds
100,200,200,2,instances/n100_w200_v200_r2.txt,bt,3697,"1 7 20 45 65 94",0.001772292,seconds
100,200,200,2,instances/n100_w200_v200_r2.txt,bb,3697,"1 7 20 45 65 94",0.000399377,seconds
100,200,200,3,instances/n100_w200_v200_r3.txt,dp,4777,"7 9 24 63 73 78",0.010025327,seconds
100,200,200,3,instances/n100_w200_v200_r3.txt,bt,4777,"7 9 24 63 73 78",0.005355267,seconds
100,200,200,3,instances/n100_w200_v200_r3.txt,bb,4777,"7 9 24 63 73 78",0.001344415,seconds
100,200,200,4,instances/n100_w200_v200_r4.txt,dp,4291,"1 3 37 38 50 57 74",0.003236006,seconds
100,200,200,4,instances/n100_w200_v200_r4.txt,bt,4291,"1 3 37 38 50 57 74",0.002064133,seconds
100,200,200,4,instances/n100_w200_v200_r4.txt,bb,4291,"1 3 37 38 50 57 74",0.000093727,seconds
100,200,200,5,instances/n100_w200_v200_r5.txt,dp,4707,"9 31 35 70 72 75",0.004429191,seconds
100,200,200,5,instances/n100_w200_v200_r5.txt,bt,4707,"9 31 35 70 72 75",0.002579661,seconds
100,200,200,5,instances/n100_w200_v200_r5.txt,bb,4707,"9 31 35 70 72 75",0.000930590,seconds
100,200,200,6,instances/n100_w200_v200_r6.txt,dp,4418,"4 29 33 54 56 97",0.004298630,seconds
100,200,200,6,instances/n100_w200_v200_r6.txt,bt,4418,"4 29 33 54 56 97",0.002626956,seconds
100,200,200,6,instances/n100_w200_v200_r6.txt,bb,4418,"4 29 33 54 56 97",0.002322716,seconds
100,200,200,7,instances/n100_w200_v200_r7.txt,dp,3633,"13 24 52 85 90",0.001686182,seconds
100,200,200,7,instances/n100_w200_v200_r7.txt,bt,3633,"13 24 52 85 90",0.001024933,seconds
100,200,200,7,instances/n100_w200_v200_r7.txt,bb,3633,"13 24 52 85 90",0.000625969,seconds
100,200,200,8,instances/n100_w200_v200_r8.txt,dp,4171,"18 33 42 57 58 82 97",0.007295591,seconds
100,200,200,8,instances/n100_w200_v200_r8.txt,bt,4171,"18 33 42 57 58 82 97",0.003480273,seconds
100,200,200,8,instances/n100_w200_v200_r8.txt,bb,4171,"18 33 42 57 58 82 97",0.001179120,seconds
100,200,200,9,instances/n100_w200_v200_r9.txt,dp,4819,"3 4 43 48 52 56 62",0.007353346,seconds
100,200,200,9,instances/n100_w200_v200_r9.txt,bt,4819,"3 4 43 48 52 56 62",0.005477023,seconds
100,200,200,9,instances/n100_w200_v200_r9.txt,bb,4819,"3 4 43 48 52 56 62",0.003587213,seconds
100,200,200,10,instances/n100_w200_v200_r10.txt,dp,4773,"6 22 40 45 48 67 77",0.007727889,seconds
100,200,200,10,instances/n100_w200_v200_r10.txt,bt,4773,"6 22 40 45 48 67 77",0.005637896,seconds
100,200,200,10,instances/n100_w200_v200_r10.txt,bb,4773,"6 22 40 45 48 67 77",0.000382053,seconds
100,200,300,1,instances/n100_w200_v300_r1.txt,dp,4077,"7 35 53 54 77",0.002042892,seconds
100,200,300,1,instances/n100_w200_v300_r1.txt,bt,4077,"7 35 53 54 77",0.000692681,seconds
100,200,300,1,instances/n100_w200_v300_r1.txt,bb,4077,"7 35 53 54 77",0.000208941,seconds
100,200,300,2,instances/n100_w200_v300_r2.txt,dp,3913,"6 8 16 75 93",0.000767837,seconds
100,200,300,2,instances/n100_w200_v300_r2.txt,bt,3913,"6 8 16 75 93",0.000358868,seconds
100,200,300,2,instances/n100_w200_v300_r2.txt,bb,3913,"6 8 16 75 93",0.000069546,seconds
100,200,300,3,instances/n100_w200_v300_r3.txt,dp,3690,"11 23 42 62 63 79",0.004463868,seconds
100,200,300,3,instances/n100_w200_v300_r3.txt,bt,3690,"11 23 42 62 63 79",0.001459794,seconds
100,200,300,3,instances/n100_w200_v300_r3.txt,bb,3690,"11 23 42 62 63 79",0.000250088,seconds
100,200,300,4,instances/n100_w200_v300_r4.txt,dp,3419,"14 15 40 53 71 88 99",0.006978827,seconds
100,200,300,4,instances/n100_w200_v300_r4.txt,bt,3419,"14 15 40 53 71 88 99",0.002975959,seconds
100,200,300,4,instances/n100_w200_v300_r4.txt,bb,3419,"14 15 40 53 71 88 99",0.000242268,seconds
100,200,300,5,instances/n100_w200_v300_r5.txt,dp,6061,"13 14 36 54 74 77 80",0.008107548,seconds
100,200,300,5,instances/n100_w200_v300_r5.txt,bt,6061,"13 14 36 54 74 77 80",0.006794577,seconds
100,200,300,5,instances/n100_w200_v300_r5.txt,bb,6061,"13 14 36 54 74 77 80",0.000577426,seconds
100,200,300,6,instances/n100_w200_v300_r6.txt,dp,4621,"13 22 53 55 60 69",0.014391183,seconds
100,200,300,6,instances/n100_w200_v300_r6.txt,bt,4621,"13 22 53 55 60 69",0.006602894,seconds
100,200,300,6,instances/n100_w200_v300_r6.txt,bb,4621,"13 22 53 55 60 69",0.001921200,seconds
100,200,300,7,instances/n100_w200_v300_r7.txt,dp,4974,"1 23 25 79 85 87",0.006061944,seconds
100,200,300,7,instances/n100_w200_v300_r7.txt,bt,4974,"1 23 25 79 85 87",0.003519634,seconds
100,200,300,7,instances/n100_w200_v300_r7.txt,bb,4974,"1 23 25 79 85 87",0.001655223,seconds
100,200,300,8,instances/n100_w200_v300_r8.txt,dp,4495,"42 62 64 72 77 83",0.006067888,seconds
100,200,300,8,instances/n100_w200_v300_r8.txt,bt,4495,"42 62 64 72 77 83",0.002751370,seconds
100,200,300,8,instances/n100_w200_v300_r8.txt,bb,4495,"42 62 64 72 77 83",0.000725311,seconds
100,200,300,9,instances/n100_w200_v300_r9.txt,dp,5028,"3 19 27 64 81 85",0.005381674,seconds
100,200,300,9,instances/n100_w200_v300_r9.txt,bt,5028,"3 27 64 69 81 85 91",0.002774374,seconds
100,200,300,9,instances/n100_w200_v300_r9.txt,bb,5028,"3 27 64 69 81 85 91",0.000602339,seconds
100,200,300,10,instances/n100_w200_v300_r10.txt,dp,3952,"17 27 58 84 95 100",0.004727435,seconds
100,200,300,10,instances/n100_w200_v300_r10.txt,bt,3952,"17 27 58 84 95 100",0.003031692,seconds
100,200,300,10,instances/n100_w200_v300_r10.txt,bb,3952,"17 27 58 84 95 100",0.000383180,seconds
100,200,400,1,instances/n100_w200_v400_r1.txt,dp,4676,"10 13 15 54 80",0.001442886,seconds
100,200,400,1,instances/n100_w200_v400_r1.txt,bt,4676,"10 13 15 54 80",0.001154741,seconds
100,200,400,1,instances/n100_w200_v400_r1.txt,bb,4676,"10 13 15 54 80",0.000865437,seconds
100,200,400,2,instances/n100_w200_v400_r2.txt,dp,6521,"5 10 14 23 24 44 47 49 51 71",0.066259481,seconds
100,200,400,2,instances/n100_w200_v400_r2.txt,bt,6521,"5 10 14 23 24 44 47 49 51 71",0.025098442,seconds
