arquivo_csv,quantidade_itens,capacidade_peso,capacidade_volume,tempo_medio_dp,tempo_medio_bt,tempo_medio_bb,razao_tempo_bt_sobre_dp,razao_tempo_bb_sobre_dp,razao_tempo_bb_sobre_bt
bb_dp_combinacoes_1000_nwp.csv,100.0,800.0,500.0,"0,0076",,"0,00053",,"0,07",
bb_dp_combinacoes_1000_nwp.csv,100.0,800.0,600.0,"0,011",,"0,00072",,"0,068",
bb_dp_combinacoes_1000_nwp.csv,100.0,800.0,700.0,"0,0074",,"0,00077",,"0,1",
bb_dp_combinacoes_1000_nwp.csv,100.0,800.0,800.0,"0,0082",,"0,00069",,"0,084",
bb_dp_combinacoes_1000_nwp.csv,100.0,800.0,900.0,"0,0089",,"0,00092",,"0,1",
bb_dp_combinacoes_1000_nwp.csv,100.0,800.0,1000.0,"0,0083",,"0,00086",,"0,1",
bb_dp_combinacoes_1000_nwp.csv,100.0,900.0,100.0,"0,0042",,"0,00065",,"0,15",
bb_dp_combinacoes_1000_nwp.csv,100.0,900.0,200.0,"0,0063",,"0,0008",,"0,13",
bb_dp_combinacoes_1000_nwp.csv,100.0,900.0,300.0,"0,0028",,"0,00049",,"0,17",
bb_dp_combinacoes_1000_nwp.csv,100.0,900.0,400.0,"0,024",,"0,00096",,"0,04",
bb_dp_combinacoes_1000_nwp.csv,100.0,900.0,500.0,"0,018",,"0,0012",,"0,064",
bb_dp_combinacoes_1000_nwp.csv,100.0,900.0,600.0,"0,015",,"0,00087",,"0,058",
bb_dp_combinacoes_1000_nwp.csv,100.0,900.0,700.0,"0,0062",,"0,00069",,"0,11",
bb_dp_combinacoes_1000_nwp.csv,100.0,900.0,800.0,"0,0075",,"0,00064",,"0,086",
bb_dp_combinacoes_1000_nwp.csv,100.0,900.0,900.0,"0,0075",,"0,00068",,"0,091",
bb_dp_combinacoes_1000_nwp.csv,100.0,900.0,1000.0,"0,018",,"0,00066",,"0,036",
bb_dp_combinacoes_1000_nwp.csv,100.0,1000.0,100.0,"0,011",,"0,00084",,"0,079",
