arquivo_csv,quantidade_itens,capacidade_peso,capacidade_volume,algoritmo,execucoes,tempo_medio,tempo_mediano,desvio_padrao_tempo,tempo_minimo,tempo_maximo,lucro_medio,coeficiente_variacao_tempo
CSV_100a1000.csv,200,400,400,bb,10,"0,033","0,029","0,024","0,0043","0,082",4977.5,"0,71"
CSV_100a1000.csv,200,400,500,dp,10,"0,17","0,12","0,15","0,067","0,5",5729.8,"0,85"
CSV_100a1000.csv,200,400,500,bt,10,"0,2","0,099","0,25","0,028","0,76",5729.8,"1,2605"
CSV_100a1000.csv,200,400,500,bb,10,"0,031","0,022","0,028","0,0042","0,078",5729.8,"0,9"
CSV_100a1000.csv,200,500,100,dp,10,"0,038","0,037","0,011","0,024","0,055",5445.8,"0,27"
CSV_100a1000.csv,200,500,100,bt,10,"0,096","0,098","0,049","0,022","0,17",5445.8,"0,51"
CSV_100a1000.csv,200,500,100,bb,10,"0,022","0,018","0,014","0,0061","0,051",5445.8,"0,64"
CSV_100a1000.csv,200,500,200,dp,10,"0,056","0,051","0,026","0,023","0,12",5369.8,"0,47"
CSV_100a1000.csv,200,500,200,bt,10,"0,099","0,071","0,081","0,021","0,27",5369.8,"0,83"
CSV_100a1000.csv,200,500,200,bb,10,"0,011","0,01","0,0066","0,0035","0,021",5369.8,"0,63"
CSV_100a1000.csv,200,500,300,dp,10,"0,1","0,075","0,075","0,039","0,3",5028.1,"0,73"
CSV_100a1000.csv,200,500,300,bt,10,"0,11","0,054","0,16","0,016","0,54",5028.1,"1,4891"
CSV_100a1000.csv,200,500,300,bb,10,"0,02","0,02","0,014","0,0032","0,055",5028.1,"0,72"
CSV_100a1000.csv,200,500,400,dp,10,"0,19","0,16","0,084","0,084","0,31",5748.9,"0,45"
CSV_100a1000.csv,200,500,400,bt,10,"0,13","0,11","0,081","0,046","0,25",5748.9,"0,61"
CSV_100a1000.csv,200,500,400,bb,10,"0,022","0,021","0,0089","0,006","0,032",5748.9,"0,41"
CSV_100a1000.csv,200,500,500,dp,10,"0,24","0,18","0,18","0,035","0,6",5393.3,"0,75"
CSV_100a1000.csv,200,500,500,bt,10,"0,21","0,061","0,36","0,015","1,1560",5393.3,"1,7116"
CSV_100a1000.csv,200,500,500,bb,10,"0,042","0,012","0,066","0,0055","0,2",5393.3,"1,5534"
CSV_100a1000.csv,300,100,100,dp,10,"0,022","0,021","0,0042","0,017","0,03",6354.1,"0,19"
CSV_100a1000.csv,300,100,100,bt,10,"2,7396","1,1548","4,5653","0,44","15,3898",6354.1,"1,6664"
CSV_100a1000.csv,300,100,100,bb,10,"0,19","0,1","0,25","0,041","0,86",6354.1,"1,3071"
CSV_100a1000.csv,300,100,200,dp,10,"0,033","0,033","0,0049","0,026","0,041",5983.5,"0,15"
CSV_100a1000.csv,300,100,200,bt,10,"0,86","0,49","0,77","0,1","2,4686",5983.5,"0,9"
CSV_100a1000.csv,300,100,200,bb,10,"0,13","0,11","0,098","0,024","0,31",5983.5,"0,78"
CSV_100a1000.csv,300,100,300,dp,10,"0,05","0,049","0,0096","0,036","0,062",6375.0,"0,19"
CSV_100a1000.csv,300,100,300,bt,10,"1,6414","0,87","2,3681","0,15","8,1053",6375.0,"1,4427"
CSV_100a1000.csv,300,100,300,bb,10,"0,23","0,097","0,33","0,026","1,0640",6375.0,"1,4293"
CSV_100a1000.csv,300,100,400,dp,10,"0,084","0,074","0,037","0,04","0,17",6114.5,"0,44"
CSV_100a1000.csv,300,100,400,bt,10,"1,1412","1,1170","0,81","0,26","2,8479",6114.5,"0,71"
CSV_100a1000.csv,300,100,400,bb,10,"0,3","0,13","0,38","0,015","1,0323",6114.5,"1,2513"
CSV_100a1000.csv,300,100,500,dp,10,"0,092","0,093","0,03","0,05","0,13",6653.4,"0,33"
CSV_100a1000.csv,300,100,500,bt,10,"1,2741","0,75","1,1744","0,24","3,6880",6653.4,"0,92"
CSV_100a1000.csv,300,100,500,bb,10,"0,17","0,16","0,096","0,044","0,32",6653.4,"0,57"
CSV_100a1000.csv,300,200,100,dp,10,"0,035","0,036","0,0062","0,022","0,042",6508.5,"0,18"
CSV_100a1000.csv,300,200,100,bt,10,"3,1302","1,2010","5,7418","0,15","19,2404",6508.5,"1,8343"
CSV_100a1000.csv,300,200,100,bb,10,"0,18","0,087","0,16","0,046","0,46",6508.5,"0,88"
CSV_100a1000.csv,300,200,200,dp,10,"0,08","0,085","0,02","0,039","0,1",6189.4,"0,25"
CSV_100a1000.csv,300,200,200,bt,10,"1,9924","1,6981","2,2015","0,069","7,5451",6189.4,"1,1049"
CSV_100a1000.csv,300,200,200,bb,10,"0,31","0,22","0,38","0,012","1,3005",6189.4,"1,1999"
CSV_100a1000.csv,300,200,300,dp,10,"0,12","0,13","0,035","0,06","0,16",6873.3,"0,3"
CSV_100a1000.csv,300,200,300,bt,10,"2,4258","1,4577","2,4109","0,18","6,6028",6873.3,"0,99"
CSV_100a1000.csv,300,200,300,bb,10,"0,37","0,27","0,29","0,043","0,8",6873.3,"0,78"
CSV_100a1000.csv,300,200,400,dp,10,"0,19","0,17","0,068","0,14","0,37",6336.7,"0,36"
CSV_100a1000.csv,300,200,400,bt,10,"4,3146","1,2272","8,5461","0,48","28,4302",6336.7,"1,9808"
CSV_100a1000.csv,300,200,400,bb,10,"0,32","0,17","0,39","0,076","1,3472",6336.7,"1,2060"
CSV_100a1000.csv,300,200,500,dp,10,"0,18","0,17","0,064","0,084","0,26",6321.8,"0,35"
CSV_100a1000.csv,300,200,500,bt,10,"1,9222","1,4369","2,4522","0,16","8,4817",6321.8,"1,2757"
CSV_100a1000.csv,300,200,500,bb,10,"0,28","0,15","0,3","0,025","0,87",6321.8,"1,0963"
CSV_100a1000.csv,300,300,100,dp,10,"0,05","0,049","0,0067","0,04","0,059",6281.6,"0,13"
CSV_100a1000.csv,300,300,100,bt,10,"1,8905","1,4751","1,4828","0,31","5,0556",6281.6,"0,78"
CSV_100a1000.csv,300,300,100,bb,10,"0,21","0,16","0,14","0,048","0,45",6281.6,"0,66"
CSV_100a1000.csv,300,300,200,dp,10,"0,11","0,09","0,065","0,074","0,29",6280.4,"0,58"
CSV_100a1000.csv,300,300,200,bt,10,"1,5794","0,73","1,7005","0,46","5,1130",6280.4,"1,0767"
CSV_100a1000.csv,300,300,200,bb,10,"0,21","0,15","0,13","0,074","0,47",6280.4,"0,62"
CSV_100a1000.csv,300,300,300,dp,10,"0,14","0,13","0,042","0,081","0,23",6098.7,"0,3"
CSV_100a1000.csv,300,300,300,bt,10,"1,0775","0,64","0,83","0,13","2,1941",6098.7,"0,77"
CSV_100a1000.csv,300,300,300,bb,10,"0,16","0,16","0,083","0,023","0,29",6098.7,"0,51"
CSV_100a1000.csv,300,300,400,dp,10,"0,24","0,22","0,11","0,098","0,46",6118.0,"0,45"
CSV_100a1000.csv,300,300,400,bt,10,"1,5264","0,83","1,7409","0,11","4,9991",6118.0,"1,1405"
CSV_100a1000.csv,300,300,400,bb,10,"0,19","0,14","0,18","0,0084","0,56",6118.0,"0,96"
CSV_100a1000.csv,300,300,500,dp,10,"0,43","0,44","0,14","0,21","0,65",6162.9,"0,33"
CSV_100a1000.csv,300,300,500,bt,10,"1,3139","1,2570","0,71","0,37","2,5479",6162.9,"0,54"
CSV_100a1000.csv,300,300,500,bb,10,"0,21","0,16","0,13","0,076","0,45",6162.9,"0,61"
CSV_100a1000.csv,300,400,100,dp,10,"0,063","0,063","0,012","0,047","0,086",6166.4,"0,2"
CSV_100a1000.csv,300,400,100,bt,10,"2,1972","1,1926","3,3102","0,16","11,3556",6166.4,"1,5066"
CSV_100a1000.csv,300,400,100,bb,10,"0,23","0,16","0,18","0,031","0,5",6166.4,"0,78"
CSV_100a1000.csv,300,400,200,dp,10,"0,16","0,14","0,053","0,1","0,25",6753.1,"0,33"
CSV_100a1000.csv,300,400,200,bt,10,"2,8190","1,0581","4,3368","0,26","14,5534",6753.1,"1,5384"
CSV_100a1000.csv,300,400,200,bb,10,"0,25","0,089","0,29","0,038","0,95",6753.1,"1,1826"
CSV_100a1000.csv,300,400,300,dp,10,"0,24","0,24","0,07","0,14","0,39",6577.0,"0,29"
CSV_100a1000.csv,300,400,300,bt,10,"1,7384","1,4668","1,0492","0,5","3,2347",6577.0,"0,6"
CSV_100a1000.csv,300,400,300,bb,10,"0,19","0,14","0,14","0,065","0,55",6577.0,"0,72"
CSV_100a1000.csv,300,400,400,dp,10,"0,36","0,31","0,24","0,13","0,95",6979.4,"0,68"
CSV_100a1000.csv,300,400,400,bt,10,"1,7347","1,0017","1,8667","0,23","6,3499",6979.4,"1,0761"
CSV_100a1000.csv,300,400,400,bb,10,"0,2","0,08","0,19","0,035","0,54",6979.4,"0,96"
CSV_100a1000.csv,300,400,500,dp,10,"0,69","0,64","0,33","0,27","1,2738",7276.1,"0,47"
CSV_100a1000.csv,300,400,500,bt,10,"6,3355","2,1344","13,4486","0,31","44,3981",7276.1,"2,1227"
CSV_100a1000.csv,300,400,500,bb,10,"0,35","0,22","0,42","0,042","1,4708",7276.1,"1,1923"
CSV_100a1000.csv,300,500,100,dp,10,"0,08","0,077","0,019","0,05","0,11",6361.6,"0,23"
CSV_100a1000.csv,300,500,100,bt,10,"1,3376","1,4421","0,79","0,24","2,4338",6361.6,"0,59"
CSV_100a1000.csv,300,500,100,bb,10,"0,17","0,16","0,11","0,04","0,41",6361.6,"0,66"
CSV_100a1000.csv,300,500,200,dp,10,"0,24","0,15","0,19","0,11","0,73",6277.0,"0,8"
CSV_100a1000.csv,300,500,200,bt,10,"1,6917","0,88","1,6239","0,26","4,7334",6277.0,"0,96"
CSV_100a1000.csv,300,500,200,bb,10,"0,27","0,18","0,24","0,096","0,82",6277.0,"0,91"
CSV_100a1000.csv,300,500,300,dp,10,"0,26","0,23","0,14","0,15","0,64",6409.1,"0,54"
CSV_100a1000.csv,300,500,300,bt,10,"1,4874","0,9","2,0426","0,45","7,2197",6409.1,"1,3732"
CSV_100a1000.csv,300,500,300,bb,10,"0,3","0,12","0,56","0,032","1,8726",6409.1,"1,8882"
CSV_100a1000.csv,300,500,400,dp,10,"0,49","0,39","0,3","0,17","1,0730",6424.9,"0,61"
CSV_100a1000.csv,300,500,400,bt,10,"2,1005","0,89","2,6638","0,38","8,3268",6424.9,"1,2682"
CSV_100a1000.csv,300,500,400,bb,10,"0,29","0,32","0,21","0,021","0,69",6424.9,"0,73"
CSV_100a1000.csv,300,500,500,dp,10,"0,8","0,71","0,44","0,18","1,7145",6461.0,"0,56"
CSV_100a1000.csv,300,500,500,bt,10,"1,6827","0,91","1,8004","0,14","5,8667",6461.0,"1,0699"
CSV_100a1000.csv,300,500,500,bb,10,"0,23","0,15","0,27","0,021","0,94",6461.0,"1,1529"
CSV_100a1000.csv,400,100,100,dp,10,"0,035","0,035","0,0047","0,028","0,04",6823.5,"0,14"
CSV_100a1000.csv,400,100,100,bt,10,"11,4634","4,4165","17,4901","1,2867","58,8035",6823.5,"1,5257"
CSV_100a1000.csv,400,100,100,bb,10,"0,94","0,42","1,3028","0,082","4,4563",6823.5,"1,3925"
CSV_100a1000.csv,400,100,200,dp,10,"0,056","0,055","0,008","0,049","0,073",6630.7,"0,14"
CSV_100a1000.csv,400,100,200,bt,10,"10,4280","5,1652","11,5000","1,1928","35,4940",6630.7,"1,1028"
CSV_100a1000.csv,400,100,200,bb,10,"1,2935","0,69","2,1230","0,11","7,2214",6630.7,"1,6413"
CSV_100a1000.csv,400,100,300,dp,10,"0,11","0,11","0,015","0,089","0,14",7883.1,"0,14"
CSV_100a1000.csv,400,100,300,bt,10,"40,8587","16,5086","52,4309","8,0310","174,9578",7883.1,"1,2832"
CSV_100a1000.csv,400,100,300,bb,10,"3,5055","1,0612","7,6286","0,052","25,1196",7883.1,"2,1762"
CSV_100a1000.csv,400,100,400,dp,10,"0,13","0,14","0,038","0,06","0,18",7183.5,"0,29"
CSV_100a1000.csv,400,100,400,bt,10,"9,2037","8,2300","7,8078","0,55","28,9866",7183.5,"0,85"
CSV_100a1000.csv,400,100,400,bb,10,"0,92","0,96","0,59","0,13","1,8622",7183.5,"0,64"
CSV_100a1000.csv,400,100,500,dp,10,"0,18","0,17","0,041","0,14","0,27",6667.5,"0,22"
CSV_100a1000.csv,400,100,500,bt,10,"19,9798","7,3313","27,2315","2,5160","88,0219",6667.5,"1,3630"
CSV_100a1000.csv,400,100,500,bb,10,"3,1653","1,2255","5,1305","0,19","17,2801",6667.5,"1,6208"
CSV_100a1000.csv,400,200,100,dp,10,"0,063","0,061","0,0078","0,053","0,076",7312.0,"0,12"
CSV_100a1000.csv,400,200,100,bt,10,"41,9067","8,7687","59,9314","1,0059","179,5639",7312.0,"1,4301"
