arquivo_csv,quantidade_itens,capacidade_peso,capacidade_volume,algoritmo_mais_rapido,menor_tempo_medio
100a600.csv,500.0,300.0,200.0,dp,"0,29"
100a600.csv,500.0,300.0,300.0,dp,"0,52"
100a600.csv,500.0,300.0,400.0,dp,"0,78"
100a600.csv,500.0,300.0,500.0,dp,"0,7"
100a600.csv,500.0,400.0,100.0,dp,"0,15"
100a600.csv,500.0,400.0,200.0,dp,"0,26"
100a600.csv,500.0,400.0,300.0,dp,"0,49"
100a600.csv,500.0,400.0,400.0,dp,"0,74"
100a600.csv,500.0,400.0,500.0,dp,"1,2335"
100a600.csv,500.0,500.0,100.0,dp,"0,21"
100a600.csv,500.0,500.0,200.0,dp,"0,46"
100a600.csv,500.0,500.0,300.0,dp,"0,84"
100a600.csv,500.0,500.0,400.0,dp,"1,5420"
100a600.csv,500.0,500.0,500.0,dp,"1,9229"
100a600.csv,600.0,100.0,100.0,dp,"0,059"
100a600.csv,600.0,100.0,200.0,dp,"0,13"
100a600.csv,600.0,100.0,300.0,dp,"0,17"
100a600.csv,600.0,100.0,400.0,dp,"0,29"
100a600.csv,600.0,100.0,500.0,dp,"0,33"
100a600.csv,600.0,200.0,100.0,dp,"0,11"
100a600.csv,600.0,200.0,200.0,dp,"0,18"
100a600.csv,600.0,200.0,300.0,dp,"0,25"
100a600.csv,600.0,200.0,400.0,dp,"0,35"
100a600.csv,600.0,200.0,500.0,dp,"0,42"
100a600.csv,600.0,300.0,100.0,dp,"0,13"
100a600.csv,600.0,300.0,200.0,dp,"0,22"
100a600.csv,600.0,300.0,300.0,dp,"0,33"
100a600.csv,600.0,300.0,400.0,dp,"0,48"
100a600.csv,600.0,300.0,500.0,dp,"0,79"
100a600.csv,600.0,400.0,100.0,dp,"0,16"
CSV_300itens_aumento_de_peso_e_volume.csv,100.0,1000.0,1000.0,bb,"0,00056"
CSV_300itens_aumento_de_peso_e_volume.csv,100.0,1000.0,100000.0,bb,"0,0012"
CSV_300itens_aumento_de_peso_e_volume.csv,100.0,1000.0,1000000.0,bb,"0,00067"
CSV_300itens_aumento_de_peso_e_volume.csv,100.0,1000.0,10000000.0,bb,"0,00078"
CSV_300itens_aumento_de_peso_e_volume.csv,100.0,1000.0,100000000.0,bb,"0,00079"
CSV_300itens_aumento_de_peso_e_volume.csv,100.0,1000.0,1000000000.0,bb,"0,00065"
CSV_300itens_aumento_de_peso_e_volume.csv,100.0,100000.0,1000.0,bb,"0,0008"
CSV_300itens_aumento_de_peso_e_volume.csv,100.0,100000.0,100000.0,bb,"0,0011"
CSV_300itens_aumento_de_peso_e_volume.csv,100.0,100000.0,1000000.0,bb,"0,00073"
CSV_300itens_aumento_de_peso_e_volume.csv,100.0,100000.0,10000000.0,bb,"0,00086"
CSV_300itens_aumento_de_peso_e_volume.csv,100.0,100000.0,100000000.0,bb,"0,00045"
CSV_300itens_aumento_de_peso_e_volume.csv,100.0,100000.0,1000000000.0,bb,"0,001"
CSV_300itens_aumento_de_peso_e_volume.csv,100.0,1000000.0,1000.0,bb,"0,00094"
CSV_300itens_aumento_de_peso_e_volume.csv,100.0,1000000.0,100000.0,bb,"0,00059"
CSV_300itens_aumento_de_peso_e_volume.csv,100.0,1000000.0,1000000.0,bb,"0,0006"
CSV_300itens_aumento_de_peso_e_volume.csv,100.0,1000000.0,10000000.0,bb,"0,00056"
CSV_300itens_aumento_de_peso_e_volume.csv,100.0,1000000.0,100000000.0,bb,"0,00043"
CSV_300itens_aumento_de_peso_e_volume.csv,100.0,1000000.0,1000000000.0,bb,"0,00068"
CSV_300itens_aumento_de_peso_e_volume.csv,100.0,10000000.0,1000.0,bb,"0,00064"
CSV_300itens_aumento_de_peso_e_volume.csv,100.0,10000000.0,100000.0,bb,"0,00074"
CSV_300itens_aumento_de_peso_e_volume.csv,100.0,10000000.0,1000000.0,bb,"0,00083"
CSV_300itens_aumento_de_peso_e_volume.csv,100.0,10000000.0,10000000.0,bb,"0,00064"
CSV_300itens_aumento_de_peso_e_volume.csv,100.0,10000000.0,100000000.0,bb,"0,00063"
CSV_300itens_aumento_de_peso_e_volume.csv,100.0,10000000.0,1000000000.0,bb,"0,00069"
CSV_300itens_aumento_de_peso_e_volume.csv,100.0,100000000.0,1000.0,bb,"0,00073"
CSV_300itens_aumento_de_peso_e_volume.csv,100.0,100000000.0,100000.0,bb,"0,00099"
CSV_300itens_aumento_de_peso_e_volume.csv,100.0,100000000.0,1000000.0,bb,"0,00038"
CSV_300itens_aumento_de_peso_e_volume.csv,100.0,100000000.0,10000000.0,bb,"0,0009"
CSV_300itens_aumento_de_peso_e_volume.csv,100.0,100000000.0,100000000.0,bb,"0,00084"
CSV_300itens_aumento_de_peso_e_volume.csv,100.0,100000000.0,1000000000.0,bb,"0,00089"
CSV_300itens_aumento_de_peso_e_volume.csv,100.0,1000000000.0,1000.0,bb,"0,0011"
CSV_300itens_aumento_de_peso_e_volume.csv,100.0,1000000000.0,100000.0,bb,"0,00091"
CSV_300itens_aumento_de_peso_e_volume.csv,100.0,1000000000.0,1000000.0,bb,"0,00041"
CSV_300itens_aumento_de_peso_e_volume.csv,100.0,1000000000.0,10000000.0,bb,"0,00057"
CSV_300itens_aumento_de_peso_e_volume.csv,100.0,1000000000.0,100000000.0,bb,"0,0013"
CSV_300itens_aumento_de_peso_e_volume.csv,100.0,1000000000.0,1000000000.0,bb,"0,001"
CSV_300itens_aumento_de_peso_e_volume.csv,200.0,1000.0,1000.0,bb,"0,026"
CSV_300itens_aumento_de_peso_e_volume.csv,200.0,1000.0,100000.0,bb,"0,037"
CSV_300itens_aumento_de_peso_e_volume.csv,200.0,1000.0,1000000.0,bb,"0,031"
CSV_300itens_aumento_de_peso_e_volume.csv,200.0,1000.0,10000000.0,bb,"0,027"
CSV_300itens_aumento_de_peso_e_volume.csv,200.0,1000.0,100000000.0,bb,"0,015"
CSV_300itens_aumento_de_peso_e_volume.csv,200.0,1000.0,1000000000.0,bb,"0,021"
CSV_300itens_aumento_de_peso_e_volume.csv,200.0,100000.0,1000.0,bb,"0,015"
CSV_300itens_aumento_de_peso_e_volume.csv,200.0,100000.0,100000.0,bb,"0,022"
CSV_300itens_aumento_de_peso_e_volume.csv,200.0,100000.0,1000000.0,bb,"0,023"
CSV_300itens_aumento_de_peso_e_volume.csv,200.0,100000.0,10000000.0,bb,"0,013"
CSV_300itens_aumento_de_peso_e_volume.csv,200.0,100000.0,100000000.0,bb,"0,034"
CSV_300itens_aumento_de_peso_e_volume.csv,200.0,100000.0,1000000000.0,bb,"0,012"
CSV_300itens_aumento_de_peso_e_volume.csv,200.0,1000000.0,1000.0,bb,"0,029"
CSV_300itens_aumento_de_peso_e_volume.csv,200.0,1000000.0,100000.0,bb,"0,012"
CSV_300itens_aumento_de_peso_e_volume.csv,200.0,1000000.0,1000000.0,bb,"0,027"
CSV_300itens_aumento_de_peso_e_volume.csv,200.0,1000000.0,10000000.0,bb,"0,033"
CSV_300itens_aumento_de_peso_e_volume.csv,200.0,1000000.0,100000000.0,bb,"0,014"
CSV_300itens_aumento_de_peso_e_volume.csv,200.0,1000000.0,1000000000.0,bb,"0,021"
CSV_300itens_aumento_de_peso_e_volume.csv,200.0,10000000.0,1000.0,bb,"0,03"
CSV_300itens_aumento_de_peso_e_volume.csv,200.0,10000000.0,100000.0,bb,"0,02"
CSV_300itens_aumento_de_peso_e_volume.csv,200.0,10000000.0,1000000.0,bb,"0,019"
CSV_300itens_aumento_de_peso_e_volume.csv,200.0,10000000.0,10000000.0,bb,"0,03"
CSV_300itens_aumento_de_peso_e_volume.csv,200.0,10000000.0,100000000.0,bb,"0,022"
CSV_300itens_aumento_de_peso_e_volume.csv,200.0,10000000.0,1000000000.0,bb,"0,029"
CSV_300itens_aumento_de_peso_e_volume.csv,200.0,100000000.0,1000.0,bb,"0,036"
CSV_300itens_aumento_de_peso_e_volume.csv,200.0,100000000.0,100000.0,bb,"0,034"
CSV_300itens_aumento_de_peso_e_volume.csv,200.0,100000000.0,1000000.0,bb,"0,026"
CSV_300itens_aumento_de_peso_e_volume.csv,200.0,100000000.0,10000000.0,bb,"0,019"
CSV_300itens_aumento_de_peso_e_volume.csv,200.0,100000000.0,100000000.0,bb,"0,03"
CSV_300itens_aumento_de_peso_e_volume.csv,200.0,100000000.0,1000000000.0,bb,"0,017"
CSV_300itens_aumento_de_peso_e_volume.csv,200.0,1000000000.0,1000.0,bb,"0,022"
CSV_300itens_aumento_de_peso_e_volume.csv,200.0,1000000000.0,100000.0,bb,"0,013"
CSV_300itens_aumento_de_peso_e_volume.csv,200.0,1000000000.0,1000000.0,bb,"0,026"
CSV_300itens_aumento_de_peso_e_volume.csv,200.0,1000000000.0,10000000.0,bb,"0,029"
CSV_300itens_aumento_de_peso_e_volume.csv,200.0,1000000000.0,100000000.0,bb,"0,036"
CSV_300itens_aumento_de_peso_e_volume.csv,200.0,1000000000.0,1000000000.0,bb,"0,027"
CSV_300itens_aumento_de_peso_e_volume.csv,300.0,1000.0,1000.0,bb,"0,25"
CSV_300itens_aumento_de_peso_e_volume.csv,300.0,1000.0,100000.0,bb,"0,36"
CSV_300itens_aumento_de_peso_e_volume.csv,300.0,1000.0,1000000.0,bb,"0,27"
CSV_300itens_aumento_de_peso_e_volume.csv,300.0,1000.0,10000000.0,bb,"0,36"
CSV_300itens_aumento_de_peso_e_volume.csv,300.0,1000.0,100000000.0,bb,"0,25"
CSV_300itens_aumento_de_peso_e_volume.csv,300.0,1000.0,1000000000.0,bb,"0,19"
CSV_300itens_aumento_de_peso_e_volume.csv,300.0,100000.0,1000.0,dp,"0,53"
CSV_300itens_aumento_de_peso_e_volume.csv,300.0,100000.0,100000.0,bb,"0,39"
CSV_300itens_aumento_de_peso_e_volume.csv,300.0,100000.0,1000000.0,bb,"0,3"
CSV_300itens_aumento_de_peso_e_volume.csv,300.0,100000.0,10000000.0,bb,"0,43"
CSV_300itens_aumento_de_peso_e_volume.csv,300.0,100000.0,100000000.0,bb,"0,28"
CSV_300itens_aumento_de_peso_e_volume.csv,300.0,100000.0,1000000000.0,bb,"0,16"
CSV_300itens_aumento_de_peso_e_volume.csv,300.0,1000000.0,1000.0,bb,"0,29"
CSV_300itens_aumento_de_peso_e_volume.csv,300.0,1000000.0,100000.0,bb,"0,43"
CSV_300itens_aumento_de_peso_e_volume.csv,300.0,1000000.0,1000000.0,bb,"0,16"
CSV_300itens_aumento_de_peso_e_volume.csv,300.0,1000000.0,10000000.0,bb,"0,38"
CSV_300itens_aumento_de_peso_e_volume.csv,300.0,1000000.0,100000000.0,bb,"0,25"
CSV_300itens_aumento_de_peso_e_volume.csv,300.0,1000000.0,1000000000.0,bb,"0,35"
CSV_300itens_aumento_de_peso_e_volume.csv,300.0,10000000.0,1000.0,bb,"0,25"
CSV_300itens_aumento_de_peso_e_volume.csv,300.0,10000000.0,100000.0,bb,"0,18"
CSV_300itens_aumento_de_peso_e_volume.csv,300.0,10000000.0,1000000.0,bb,"0,3"
CSV_300itens_aumento_de_peso_e_volume.csv,300.0,10000000.0,10000000.0,bb,"0,34"
CSV_300itens_aumento_de_peso_e_volume.csv,300.0,10000000.0,100000000.0,bb,"0,26"
CSV_300itens_aumento_de_peso_e_volume.csv,300.0,10000000.0,1000000000.0,bb,"0,18"
CSV_300itens_aumento_de_peso_e_volume.csv,300.0,100000000.0,1000.0,bb,"0,33"
CSV_300itens_aumento_de_peso_e_volume.csv,300.0,100000000.0,100000.0,bb,"0,31"
CSV_300itens_aumento_de_peso_e_volume.csv,300.0,100000000.0,1000000.0,bb,"0,3"
CSV_300itens_aumento_de_peso_e_volume.csv,300.0,100000000.0,10000000.0,bb,"0,25"
