N (Itens),Metodo,Lucro,Tempo (ms),Desvio (ms),IC 95% (ms)
100,Backtracking,"R$ 4.308,27","3,08","4,03","0,31"
100,BnB,"R$ 4.308,27","0,83","0,94","0,073"
100,Dinamica,"R$ 4.308,27","11,61","18,60","1,44"
