N (Itens),Metodo,Lucro,Tempo (ms),Desvio (ms),IC 95% (ms)
100,Backtracking,"R$ 4.273,17","2,97","2,82","0,29"
100,BnB,"R$ 4.273,17","0,77","0,71","0,073"
100,Dinamica,"R$ 4.273,17","10,38","16,75","1,73"
200,Backtracking,"R$ 5.597,43","143,54","166,30","17,18"
200,BnB,"R$ 5.597,43","24,46","24,72","2,55"
200,Dinamica,"R$ 5.597,43","1315,34","4853,49","501,37"
300,Backtracking,"R$ 6.474,51","2238,65","3193,96","329,94"
300,BnB,"R$ 6.474,51","311,02","370,25","38,25"
300,Dinamica,"R$ 6.474,51","2083,91","3625,20","374,49"
