N (Itens),Metodo,Lucro,Tempo (ms),Desvio (ms),IC 95% (ms)
100,Backtracking,"R$ 4.432,57","3,67","4,67","0,72"
100,BnB,"R$ 4.432,57","0,92","0,76","0,12"
100,Dinamica,"R$ 4.432,57","12,59","18,25","2,83"
